id,depth,dip_angle,dip_azimuth,feature_type,auto_picked
127,7476.105612,39.549192,340.027178,Bedding,1
128,7476.790346,4.748717,340.507227,Bedding,1
129,7477.474254,69.139762,190.002202,Bedding,1
130,7478.157117,50.496035,260.039092,Bedding,1
131,7478.839733,3.100775,359.312246,Bedding,1
132,7479.523090,9.977196,29.786475,Bedding,1
133,7480.206991,39.517026,319.988537,Bedding,1
134,7480.889965,79.999243,80.003547,Bedding,1
135,7481.571800,79.997887,29.999740,Bedding,1
136,7482.256406,79.997868,99.996536,Bedding,1
137,7482.939886,69.145983,40.003184,Bedding,1
138,7483.623405,29.348276,110.160073,Bedding,1
139,7484.306862,50.547021,329.903221,Bedding,1
140,7484.989403,69.141960,9.968056,Bedding,1
141,7485.672998,39.574892,330.013162,Bedding,1
142,7486.356779,69.146130,10.001924,Bedding,1
143,7487.039428,50.501544,240.072539,Bedding,1
144,7487.722852,75.468509,230.007615,Bedding,1
145,7488.404638,39.540924,20.098448,Bedding,1
146,7489.088563,50.504455,339.937270,Bedding,1
147,7489.771793,39.511319,330.193337,Bedding,1
148,7490.455892,50.552023,90.052562,Bedding,1
149,7491.138191,79.995708,329.999082,Bedding,1
150,7491.824699,75.471317,169.992383,Bedding,1
151,7492.507726,29.300884,339.884976,Bedding,1
152,7493.189984,50.533650,349.904432,Bedding,1
153,7493.873232,50.532504,209.944279,Bedding,1
154,7494.555704,39.531329,320.041655,Bedding,1
155,7495.239728,14.570606,220.106719,Bedding,1
156,7495.924427,69.142057,9.977832,Bedding,1
157,7496.606436,6.881372,29.554877,Bedding,1
158,7497.289314,29.317232,329.938230,Bedding,1
159,7497.972589,14.620163,119.875809,Bedding,1
160,7498.656913,6.900131,90.136462,Bedding,1
161,7499.339340,75.473805,40.004747,Bedding,1
162,7500.023224,79.999430,289.997410,Bedding,1
163,7500.706748,75.466894,29.974195,Bedding,1
164,7501.387658,75.470497,150.025703,Bedding,1
165,7502.072649,75.472353,109.985743,Bedding,1
166,7502.756334,75.473288,90.032474,Bedding,1
167,7503.439960,60.743191,249.998760,Bedding,1
168,7504.125391,79.998364,69.999356,Bedding,1
