iter	RMSE
0	0.1382557682
1	0.1266065881
2	0.1171641728
3	0.1079790937
4	0.100960725
5	0.09590873892
6	0.09050702352
7	0.08581928153
8	0.08350014863
9	0.08090342514
10	0.07887294749
11	0.07709315447
12	0.07485667505
13	0.07312759654
14	0.07175599762
15	0.0706041071
16	0.06969188315
17	0.06778691418
18	0.06670348583
19	0.06531144782
20	0.06422958934
21	0.06344421931
22	0.06263597733
23	0.0617979532
24	0.06116054356
25	0.06045811465
26	0.06017312885
27	0.05987738775
28	0.05948471539
29	0.05886523728
30	0.05849388883
31	0.05774298497
32	0.05763341512
33	0.05747255235
34	0.05666583333
35	0.05645824528
36	0.05623055415
37	0.05595807239
38	0.05569544171
39	0.05528920821
40	0.05471505189
41	0.0544569593
42	0.05398591763
43	0.05379676844
44	0.05346509392
45	0.05325492032
46	0.05304140588
47	0.052894276
48	0.05239770504
49	0.05234417974
50	0.05207601079
51	0.05199534192
52	0.05173426846
53	0.05170950712
54	0.05134420917
55	0.05115904389
56	0.05096097809
57	0.05077192
58	0.05060868311
59	0.05037832604
60	0.05009087394
61	0.04995565376
62	0.04959208369
63	0.04936479968
64	0.04927878541
65	0.04893925766
66	0.04866121364
67	0.04816733846
68	0.04795385846
69	0.04729170916
70	0.04713376358
71	0.04701069805
72	0.04676153849
73	0.04642554552
74	0.04590057839
75	0.04569897425
76	0.04531959943
77	0.0452704636
78	0.04488661612
79	0.04477835355
80	0.04452882189
81	0.04438588236
82	0.04399928767
83	0.04376665214
84	0.0435210616
85	0.04336290028
86	0.04329161687
87	0.04312225856
88	0.04295161798
89	0.04278882982
90	0.04235875267
91	0.04202177816
92	0.04167251091
93	0.04130442173
94	0.04084274247
95	0.04053377559
96	0.04029470404
97	0.03979534009
98	0.03936278151
99	0.0391998665
100	0.03885574919
101	0.03873288292
102	0.03846391527
103	0.03823367711
104	0.03811609228
105	0.0378524615
106	0.03769056936
107	0.0374360641
108	0.03721683327
109	0.03714370809
110	0.03686485795
111	0.03674435364
112	0.0365013438
113	0.03644613625
114	0.03614055258
115	0.03600838294
116	0.03590715272
117	0.03580806709
118	0.03552030619
119	0.03533942331
120	0.03507368348
121	0.03491213606
122	0.03457876589
123	0.03444976116
124	0.03436710135
125	0.03418565968
126	0.03408431212
127	0.0338202279
128	0.03364810956
129	0.03355400936
130	0.03335094707
131	0.03310953622
132	0.03305249062
133	0.03298096664
134	0.03281015301
135	0.03277243899
136	0.03239695135
137	0.03217771457
138	0.03216036206
139	0.03201533775
140	0.03185468558
141	0.03178198261
142	0.03176766574
143	0.03167908341
144	0.03151933076
145	0.03147050607
146	0.03136141199
147	0.03111661285
148	0.03107819204
149	0.03106796194
150	0.03080224372
151	0.03062392766
152	0.03033106785
153	0.03024273489
154	0.03023195198
155	0.03009888252
156	0.03001421143
157	0.02986134877
158	0.0296527045
159	0.02945951093
160	0.02934209381
161	0.02918992743
162	0.02906333897
163	0.0288575583
164	0.02860362986
165	0.02843335513
166	0.02826149556
167	0.02814754324
168	0.02799344908
169	0.02796345363
170	0.02779876728
171	0.02771414741
172	0.02764378506
173	0.02749502376
174	0.02740007664
175	0.02739048917
176	0.02732793861
177	0.02726840253
178	0.02721107139
179	0.02714804707
180	0.02713660663
181	0.02699294713
182	0.02686424715
183	0.02677617575
184	0.02662768761
185	0.02662003497
186	0.02646380377
187	0.02634696475
188	0.02626239587
189	0.0261935219
190	0.02605935845
191	0.02596701358
192	0.02582046639
193	0.02576723767
194	0.02561688187
195	0.02549926179
196	0.0253947926
197	0.02528460317
198	0.02513017308
199	0.02502189718
